경로,제품코드,제품명,판매가
B2B(GLOBAL),BA00021,바쿠치올플럼핑세럼[30ml/-],"10,795"
B2B(GLOBAL),BA00022,비타민일루미네이팅세럼[30ml/-],"10,795"
B2B(GLOBAL),BA00024,스위밍풀토너[155ml/-],"6,475"
B2B(GLOBAL),BA00023,스위밍풀토너[300ml/-],"9,498"
B2B(GLOBAL),BA00026,스위밍풀앰플[50ml/-],"9,931"
B2B(GLOBAL),BA00025,스위밍풀토너패드[220ml|70매/-],"9,498"
B2B(GLOBAL),BA00027,퍼플라이스포어팩클렌저[130g/-],"10,363"
B2B(GLOBAL),BA00028,퍼플PDRN포어세럼[30ml/-],"10,363"
B2B(GLOBAL),BA00029,퍼플라이스포어클렌징오일[200ml/-],"10,363"
B2B(GLOBAL),BA00030,콜라겐 하이드로겔 마스크[4EA|30g/타이트업],"9,498"
B2B(GLOBAL),BA00031,콜라겐 하이드로겔 마스크[4EA|30g/글로우업],"9,498"
Shopee(SG),BA00021,바쿠치올플럼핑세럼[30ml/-],"35,481"
Shopee(SG),BA00022,비타민일루미네이팅세럼[30ml/-],"35,481"
Shopee(SG),BA00024,스위밍풀토너[155ml/-],"19,904"
Shopee(SG),BA00023,스위밍풀토너[300ml/-],"32,440"
Shopee(SG),BA00027,퍼플라이스포어팩클렌저[130g/-],"34,267"
Shopee(SG),BA00028,퍼플PDRN포어세럼[30ml/-],"35,381"
Shopee(SG),BA00029,퍼플라이스포어클렌징오일[200ml/-],"35,381"
Shopee(SG),BA00030,콜라겐 하이드로겔 마스크[4EA|30g/타이트업],"32,054"
Shopee(SG),BA00031,콜라겐 하이드로겔 마스크[4EA|30g/글로우업],"32,054"
Shopee(MY),BA00021,바쿠치올플럼핑세럼[30ml/-],"35,695"
Shopee(MY),BA00022,비타민일루미네이팅세럼[30ml/-],"35,695"
Shopee(MY),BA00024,스위밍풀토너[155ml/-],"19,875"
Shopee(MY),BA00023,스위밍풀토너[300ml/-],"32,668"
Shopee(MY),BA00027,퍼플라이스포어팩클렌저[130g/-],"34,353"
Shopee(MY),BA00028,퍼플PDRN포어세럼[30ml/-],"36,038"
Shopee(MY),BA00029,퍼플라이스포어클렌징오일[200ml/-],"36,038"
Shopee(MY),BA00030,콜라겐 하이드로겔 마스크[4EA|30g/타이트업],"32,996"
Shopee(MY),BA00031,콜라겐 하이드로겔 마스크[4EA|30g/글로우업],"32,996"
Shopee(PH),BA00021,바쿠치올플럼핑세럼[30ml/-],"36,095"
Shopee(PH),BA00022,비타민일루미네이팅세럼[30ml/-],"36,095"
Shopee(PH),BA00024,스위밍풀토너[155ml/-],"20,617"
Shopee(PH),BA00023,스위밍풀토너[300ml/-],"33,025"
Shopee(PH),BA00027,퍼플라이스포어팩클렌저[130g/-],"34,310"
Shopee(PH),BA00028,퍼플PDRN포어세럼[30ml/-],"35,866"
