월,경로,제품코드,제품명,판매수량
2024년 1월,Amazon(USA),BA00010,딥크림[70ml/-],4
2024년 1월,Amazon(USA),BA00026,스위밍풀앰플[50ml/-],3
2024년 1월,Amazon(USA),BA00023,스위밍풀토너[300ml/-],123
2024년 1월,Amazon(USA),BA00025,스위밍풀토너패드[220ml|70매/-],3
2024년 1월,Amazon(USA),BA00004,클렌저[200ml/-],9
2024년 1월,B2B(GLOBAL),BA00023,토너[300ml/-],2
2024년 2월,Amazon(USA),BA00010,딥크림[70ml/-],14
2024년 2월,Amazon(USA),BA00026,스위밍풀앰플[50ml/-],36
2024년 2월,Amazon(USA),BA00023,스위밍풀토너[300ml/-],2273
2024년 2월,Amazon(USA),BA00025,스위밍풀토너패드[220ml|70매/-],75
2024년 2월,Amazon(USA),BA00004,클렌저[200ml/-],33
2024년 2월,B2B(GLOBAL),BA00023,토너[300ml/-],236
2024년 3월,Amazon(USA),BA00010,딥크림[70ml/-],9
2024년 3월,Amazon(USA),BA00026,스위밍풀앰플[50ml/-],21
2024년 3월,Amazon(USA),BA00023,스위밍풀토너[300ml/-],2809
2024년 3월,Amazon(USA),BA00025,스위밍풀토너패드[220ml|70매/-],49
2024년 3월,Amazon(USA),BA00004,클렌저[200ml/-],30
2024년 3월,B2B(GLOBAL),BA00017,앰플[50ml/-],88
2024년 3월,B2B(GLOBAL),BA00004,클렌저[200ml/-],441
2024년 3월,B2B(GLOBAL),BA00012,클렌징오일[200ml/-],1
2024년 3월,B2B(GLOBAL),BA00023,토너[300ml/-],368
2024년 3월,Shopee(MY),BA00023,스위밍풀토너[300ml/-],2
2024년 3월,Shopee(PH),BA00023,스위밍풀토너[300ml/-],13
2024년 4월,Amazon(USA),BA00010,딥크림[70ml/-],17
2024년 4월,Amazon(USA),BA00026,스위밍풀앰플[50ml/-],35
2024년 4월,Amazon(USA),BA00023,스위밍풀토너[300ml/-],3849
2024년 4월,Amazon(USA),BA00025,스위밍풀토너패드[220ml|70매/-],160
2024년 4월,Amazon(USA),BA00004,클렌저[200ml/-],32
2024년 4월,B2B(GLOBAL),BA00010,딥크림[70ml/-],20
2024년 4월,B2B(GLOBAL),BA00005,선크림[50ml/-],20
2024년 4월,B2B(GLOBAL),BA00004,클렌저[200ml/-],209
2024년 4월,B2B(GLOBAL),BA00012,클렌징오일[200ml/-],116
2024년 4월,B2B(GLOBAL),BA00023,토너[300ml/-],442
2024년 4월,B2B(GLOBAL),BA00025,토너패드[220ml|70매/-],20
2024년 4월,Shopee(MY),BA00023,스위밍풀토너[300ml/-],42
2024년 4월,Shopee(PH),BA00023,스위밍풀토너[300ml/-],80
2024년 4월,Shopee(SG),BA00023,스위밍풀토너[300ml/-],49
2024년 5월,Amazon(USA),BA00010,딥크림[70ml/-],16
2024년 5월,Amazon(USA),BA00026,스위밍풀앰플[50ml/-],17
2024년 5월,Amazon(USA),BA00023,스위밍풀토너[300ml/-],3535
2024년 5월,Amazon(USA),BA00025,스위밍풀토너패드[220ml|70매/-],97
2024년 5월,Amazon(USA),BA00004,클렌저[200ml/-],22
2024년 5월,B2B(GLOBAL),BA00004,클렌저[200ml/-],0
2024년 5월,B2B(GLOBAL),BA00012,클렌징오일[200ml/-],1
2024년 5월,B2B(GLOBAL),BA00023,토너[300ml/-],766
2024년 5월,Shopee(MY),BA00023,스위밍풀토너[300ml/-],84
2024년 5월,Shopee(PH),BA00023,스위밍풀토너[300ml/-],443
2024년 5월,Shopee(SG),BA00023,스위밍풀토너[300ml/-],71
2024년 6월,Amazon(USA),BA00010,딥크림[70ml/-],10
2024년 6월,Amazon(USA),BA00026,스위밍풀앰플[50ml/-],41
2024년 6월,Amazon(USA),BA00023,스위밍풀토너[300ml/-],3175
2024년 6월,Amazon(USA),BA00025,스위밍풀토너패드[220ml|70매/-],91
2024년 6월,Amazon(USA),BA00004,클렌저[200ml/-],49
2024년 6월,B2B(GLOBAL),BA00004,클렌저[200ml/-],63
2024년 6월,B2B(GLOBAL),BA00023,토너[300ml/-],2375
2024년 6월,B2B(GLOBAL),BA00025,토너패드[220ml|70매/-],40
2024년 6월,Shopee(MY),BA00019,데일리글로우클렌저[210ml/-],2
2024년 6월,Shopee(MY),BA00010,딥크림[70ml/-],4
2024년 6월,Shopee(MY),BA00023,스위밍풀토너[300ml/-],244
2024년 6월,Shopee(PH),BA00019,데일리글로우클렌저[210ml/-],5
2024년 6월,Shopee(PH),BA00023,스위밍풀토너[300ml/-],794
2024년 6월,Shopee(SG),BA00019,데일리글로우클렌저[210ml/-],21
2024년 6월,Shopee(SG),BA00010,딥크림[70ml/-],1
2024년 6월,Shopee(SG),BA00023,스위밍풀토너[300ml/-],230
2024년 6월,Shopee(SG),BA00025,스위밍풀토너패드[220ml|70매/-],2
2024년 6월,Shopee(VN),BA00023,스위밍풀토너[300ml/-],1
2024년 7월,Amazon(USA),BA00019,데일리글로우클렌저[210ml/-],109
2024년 7월,Amazon(USA),BA00010,딥크림[70ml/-],15
2024년 7월,Amazon(USA),BA00026,스위밍풀앰플[50ml/-],51
2024년 7월,Amazon(USA),BA00023,스위밍풀토너[300ml/-],5445
2024년 7월,Amazon(USA),BA00025,스위밍풀토너패드[220ml|70매/-],43
2024년 7월,Amazon(USA),BA00004,클렌저[200ml/-],77
2024년 7월,B2B(GLOBAL),BA00023,토너[300ml/-],3055
2024년 7월,B2B(GLOBAL),BA00025,토너패드[220ml|70매/-],80
2024년 7월,Shopee(MY),BA00019,데일리글로우클렌저[210ml/-],48
2024년 7월,Shopee(MY),BA00010,딥크림[70ml/-],43
2024년 7월,Shopee(MY),BA00005,선크림[50ml/-],2
2024년 7월,Shopee(MY),BA00023,스위밍풀토너[300ml/-],451
2024년 7월,Shopee(MY),BA00025,스위밍풀토너패드[220ml|70매/-],4
2024년 7월,Shopee(PH),BA00019,데일리글로우클렌저[210ml/-],258
2024년 7월,Shopee(PH),BA00010,딥크림[70ml/-],34
2024년 7월,Shopee(PH),BA00005,선크림[50ml/-],13
2024년 7월,Shopee(PH),BA00023,스위밍풀토너[300ml/-],1377
2024년 7월,Shopee(PH),BA00025,스위밍풀토너패드[220ml|70매/-],24
2024년 7월,Shopee(PH),BA00017,앰플[50ml/-],1
2024년 7월,Shopee(SG),BA00019,데일리글로우클렌저[210ml/-],17
2024년 7월,Shopee(SG),BA00010,딥크림[70ml/-],9
2024년 7월,Shopee(SG),BA00005,선크림[50ml/-],17
2024년 7월,Shopee(SG),BA00023,스위밍풀토너[300ml/-],356
2024년 7월,Shopee(SG),BA00025,스위밍풀토너패드[220ml|70매/-],8
2024년 7월,Shopee(VN),BA00019,데일리글로우클렌저[210ml/-],1
2024년 7월,Shopee(VN),BA00005,선크림[50ml/-],2
2024년 7월,Shopee(VN),BA00023,스위밍풀토너[300ml/-],7
2024년 8월,Amazon(USA),BA00019,데일리글로우클렌저[210ml/-],99
2024년 8월,Amazon(USA),BA00010,딥크림[70ml/-],8
2024년 8월,Amazon(USA),BA00026,스위밍풀앰플[50ml/-],22
2024년 8월,Amazon(USA),BA00023,스위밍풀토너[300ml/-],4347
2024년 8월,Amazon(USA),BA00025,스위밍풀토너패드[220ml|70매/-],3
2024년 8월,Amazon(USA),BA00004,클렌저[200ml/-],11
2024년 8월,B2B(GLOBAL),BA00019,데일리글로우클렌저[210ml/-],63
2024년 8월,B2B(GLOBAL),BA00004,클렌저[200ml/-],580
2024년 8월,B2B(GLOBAL),BA00023,토너[300ml/-],3338
2024년 8월,Shopee(MY),BA00019,데일리글로우클렌저[210ml/-],38
2024년 8월,Shopee(MY),BA00010,딥크림[70ml/-],19
2024년 8월,Shopee(MY),BA00005,선크림[50ml/-],9
2024년 8월,Shopee(MY),BA00023,스위밍풀토너[300ml/-],426
2024년 8월,Shopee(MY),BA00025,스위밍풀토너패드[220ml|70매/-],7
2024년 8월,Shopee(PH),BA00019,데일리글로우클렌저[210ml/-],195
2024년 8월,Shopee(PH),BA00010,딥크림[70ml/-],20
2024년 8월,Shopee(PH),BA00005,선크림[50ml/-],15
2024년 8월,Shopee(PH),BA00023,스위밍풀토너[300ml/-],1118
